COD_CLIENTE;DATA_CADASTRO;DATA_NASCIMENTO;CELULAR_VALIDO;E_MAIL_VALIDO;OPT_OUT;Idade;Faixa_Idade;DATA_PRIMEIRA_COMPRA;DIAS_ATE_1A_COMPRA
39951415;15/09/2024;13/04/1995;Não;Sim;Não;30;21 a 30;11/01/2025;118
40221352;30/04/2025;19/01/1954;Não;Sim;Sim;71;>=51;30/04/2025;0
40265783;20/12/2024;10/03/1986;Não;Sim;Não;39;31 a 40;04/01/2025;15
39348684;20/03/2024;16/06/1993;Não;Sim;Não;32;31 a 40;08/02/2025;325
40448042;09/01/2024;11/11/1988;Não;Sim;Não;36;31 a 40;21/02/2025;409
40566191;01/06/2024;08/07/1987;Não;Sim;Sim;37;31 a 40;23/03/2025;295
40029866;28/02/2025;24/04/1984;Não;Sim;Sim;41;41 a 50;28/02/2025;0
37354987;16/04/2024;26/04/1999;Não;Sim;Não;26;21 a 30;19/03/2025;337
40360405;23/01/2025;12/05/1978;Não;Sim;Não;47;41 a 50;23/01/2025;0
39085275;14/11/2024;22/09/1989;Não;Sim;Não;35;31 a 40;22/01/2025;69
39302665;26/02/2024;13/11/1998;Não;Sim;Não;26;21 a 30;20/02/2025;360
40192388;30/11/2024;05/03/2004;Não;Sim;Não;21;21 a 30;02/01/2025;33
40393607;02/02/2025;02/10/1989;Não;Sim;Não;35;31 a 40;02/02/2025;0
39782400;24/07/2024;25/09/2002;Não;Sim;Não;22;21 a 30;23/04/2025;273
40279591;24/12/2024;21/04/1983;Não;Sim;Sim;42;41 a 50;06/01/2025;13
40591600;23/06/2024;02/08/1975;Não;Sim;Não;49;41 a 50;02/01/2025;193
39731846;10/07/2024;06/07/1984;Não;Sim;Sim;40;31 a 40;18/02/2025;223
40444647;20/02/2025;11/04/2005;Não;Sim;Não;20;<=20;02/03/2025;10
39563644;19/05/2024;15/01/1987;Não;Sim;Não;38;31 a 40;03/01/2025;229
40426611;13/02/2025;05/05/2001;Não;Sim;Não;24;21 a 30;13/02/2025;0
39828455;07/08/2024;27/02/2000;Não;Sim;Não;25;21 a 30;17/01/2025;163
39889709;26/08/2024;09/09/2003;Não;Sim;Não;21;21 a 30;08/01/2025;135
39610602;02/06/2024;28/12/1997;Não;Sim;Não;27;21 a 30;23/02/2025;266
39330007;06/03/2024;25/10/1991;Não;Sim;Não;33;31 a 40;07/03/2025;366
39784914;25/07/2024;11/03/1992;Não;Sim;Não;33;31 a 40;18/01/2025;177
39574677;23/05/2024;13/01/2005;Não;Sim;Não;20;<=20;23/01/2025;245
39498404;02/06/2024;19/03/1974;Não;Sim;Não;51;>=51;13/01/2025;225
40071257;26/10/2024;05/04/1979;Não;Sim;Não;46;41 a 50;27/01/2025;93
40635426;27/03/2025;24/02/1997;Não;Sim;Não;28;21 a 30;27/03/2025;0
37835260;03/10/2024;19/12/1995;Não;Sim;Não;29;21 a 30;02/01/2025;91
40224566;08/12/2024;08/12/1960;Não;Sim;Sim;64;>=51;05/01/2025;28
40185485;28/11/2024;28/02/2005;Não;Sim;Não;20;<=20;03/01/2025;36
